1.03	0.7	4.99	4.11
1.2	1.24	1.08	1.08
1.02	0.6	2.49	2.25
0.85	0.8	2.69	2.75
0.57	0.85	0.89	0.85
0.56	1.01	2.16	2.34
0.96	0.79	1.86	1.85
2.17	1.09	6.67	6.8
1.28	0.66	2.1	2.08
1.02	0.7	1.52	1.28
0.72	0.68	1.65	1.72
0.74	0.91	1.19	1.2
0.72	0.67	1.54	1.39
1.93	3.07	0.3	0.3
0.59	0.82	1.45	1.53
0.61	0.82	2	2.01
1	0.85	3.19	3.06
0.68	0.82	1.54	1.63
0.96	0.8	1.45	1.54
0.9	0.71	7.23	7.01
0.87	1.02	1.79	1.93
0.69	0.66	1.13	1.13
0.84	0.55	1.99	1.7
0.5	0.54	1.66	1.57
0.61	0.33	3.14	2.53
1.11	0.75	3.5	2.94
0.38	0.48	0.86	0.87
0.51	0.51	4.75	4.35
0.87	0.75	1.89	2.06
1.24	0.66	0.58	0.63
2.05	0.71	2.3	1.92
0.49	1.01	0.52	0.41
0.72	1.08	1.48	1.46
0.46	0.8	1.04	1.06
0.71	0.6	4.12	3.77
0.56	0.58	2.05	2.05
0.86	0.81	4.68	4.32
1.32	0.74	1.62	1.57
0.66	0.6	1.73	1.76
0.71	0.59	1.72	1.68
0.5	0.51	0.86	0.87
0.69	0.66	1.21	1.14
0.67	0.81	1.66	1.66
0.6	0.62	2.51	2.41
0.51	1.57	0.58	0.4
0.63	0.5	3.22	2.37
0.66	0.87	0.8	0.8
1.35	0.43	2.3	1.64
